test,terminals,initial_len,basic_final_len,basic_time,basic_steiners,mod_final_len,mod_time,mod_steiners,speedup,improvement_percent
test0.json,68,543,491,35.9124,25,491,7.5204,25,4.775331099409605,9.6
test1.json,60,538,478,19.9508,19,478,4.7751,20,4.178090511193483,11.2
test2.json,32,364,328,1.284,10,328,0.3742,10,3.4313201496525925,9.9
test3.json,62,586,501,25.4945,25,501,5.6533,25,4.509666920205897,14.5
test4.json,75,577,504,49.9102,27,505,9.805,26,5.090280469148394,12.7
test5.json,35,430,390,2.0544,12,390,0.5612,12,3.6607270135424086,9.3
test6.json,50,516,444,14.9069,21,444,2.9195,21,5.105977050864873,14.0
test7.json,53,458,414,10.1169,18,414,2.2286,18,4.539576415686978,9.6
test8.json,61,539,479,23.8744,25,479,4.948,25,4.825060630557801,11.1
test9.json,65,540,490,32.2288,25,490,6.6747,25,4.828501655505116,9.3
test10.json,18,73,64,0.0424,6,64,0.0146,6,2.904109589041096,12.3
test11.json,18,88,74,0.0554,6,74,0.0203,6,2.729064039408867,15.9
test12.json,17,67,59,0.0405,5,59,0.011,5,3.681818181818182,11.9
test13.json,10,41,39,0.0039,2,39,0.0014,2,2.7857142857142856,4.9
test14.json,18,77,67,0.083,7,67,0.0249,7,3.333333333333334,13.0
test15.json,19,85,75,0.0596,6,75,0.0255,6,2.3372549019607844,11.8
test16.json,8,53,48,0.0017,2,48,0.0018,2,0.9444444444444444,9.4
test17.json,20,83,76,0.034,5,75,0.0157,6,2.1656050955414017,8.4
test18.json,7,46,39,0.0007,2,39,0.0008,2,0.875,15.2
test19.json,17,70,63,0.0628,6,63,0.0221,6,2.8416289592760178,10.0
